City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nadi,-17.8,177.4167,295.15,88,40,2.06,FJ,1691588841
83,port blair,11.6667,92.75,300.9,83,100,6.69,IN,1691589062
84,lethem,3.3803,-59.7968,304.07,59,12,2.78,GY,1691589062
85,st. john's,47.5649,-52.7093,287.41,88,100,1.03,CA,1691588884
86,mejit,10.2753,170.8646,301.13,71,69,4.81,MH,1691589063
87,hamilton,39.1834,-84.5333,297.47,85,0,3.6,US,1691588657
88,tolanaro,-25.0319,46.9987,296.19,78,40,8.23,MG,1691589064
89,vadso,70.0744,29.7487,301.64,54,0,3.6,NO,1691589065
90,papao,-17.75,-149.55,294.97,73,92,7.51,PF,1691589065
91,qusmuryn,52.4503,64.6311,294.68,63,87,5.8,KZ,1691589065
92,dudinka,69.4058,86.1778,294.61,62,59,4.41,RU,1691589066
93,nantucket,41.2835,-70.0995,297.18,70,100,6.17,US,1691588795
94,kidal,18.4411,1.4078,312.07,23,38,3.26,ML,1691589067
95,puerto vilelas,-27.5141,-58.9391,288.74,97,100,3.09,AR,1691589067
96,katsuren-haebaru,26.3369,127.8719,301.58,94,40,5.14,JP,1691589067
97,kayangel,8.0823,134.7173,301.2,76,94,7.02,PW,1691589067
98,pimentel,-6.8367,-79.9342,295.31,83,100,2.06,PE,1691589068
99,lebu,-37.6167,-73.65,285.97,76,100,7.86,CL,1691589068
100,kapa'a,22.0752,-159.319,300.33,80,100,8.23,US,1691589068
101,erdenet,49.0333,104.0833,288.77,97,99,2.85,MN,1691589068
102,adrar,20.5022,-10.0711,317.6,9,2,3.92,MR,1691589069
103,stanley,54.868,-1.6985,293.31,65,20,6.69,GB,1691589069
104,onverwacht,5.5833,-55.1833,304.18,50,57,2.46,SR,1691589069
105,puerto el triunfo,13.2833,-88.55,301.93,69,11,0.85,SV,1691589069
106,vorgashor,67.5833,63.95,285.83,57,98,2.45,RU,1691589070
107,udachny,66.4167,112.4,295.07,37,0,5.86,RU,1691589070
